Polyline,X,Y
LINE,-9,2365,-9,2392
LINE,219,2365,219,2392
LINE,162,2383,219,2383
LINE,162,2374,219,2374
LINE,162,2365,162,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,262,2365,262,2392
LINE,162,2383,262,2383
LINE,162,2374,262,2374
LINE,162,2365,162,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,296,2365,296,2392
LINE,162,2383,296,2383
LINE,162,2374,296,2374
LINE,162,2365,162,2392
LINE,262,2365,262,2392
LINE,100,2383,262,2383
LINE,100,2374,262,2374
LINE,100,2365,100,2392
LINE,162,2392,227,2392
LINE,227,2392,227,2411
LINE,162,2394,227,2394
LINE,162,2396,227,2396
LINE,162,2397,227,2397
LINE,162,2400,227,2400
LINE,162,2402,227,2402
LINE,162,2404,227,2404
LINE,162,2406,227,2406
LINE,162,2408,227,2408
LINE,162,2411,227,2411
LINE,162,2392,162,2411
LINE,166,2394,166,2408
LINE,172,2394,172,2408
LINE,177,2394,177,2408
LINE,189,2394,189,2408
LINE,196,2394,196,2408
LINE,208,2394,208,2408
LINE,214,2394,214,2408
LINE,220,2394,220,2411
LINE,162,2392,228,2392
LINE,228,2392,228,2415
LINE,162,2394,228,2394
LINE,162,2396,228,2396
LINE,162,2397,228,2397
LINE,162,2400,228,2400
LINE,162,2404,228,2404
LINE,162,2407,228,2407
LINE,162,2408,228,2408
LINE,162,2410,228,2410
LINE,162,2412,228,2412
LINE,162,2415,228,2415
LINE,162,2392,162,2415
LINE,167,2394,167,2412
LINE,173,2394,173,2412
LINE,182,2394,182,2412
LINE,191,2394,191,2412
LINE,198,2394,198,2412
LINE,210,2394,210,2412
LINE,215,2394,215,2412
LINE,221,2394,221,2415
LINE,169,2392,162,2392
LINE,162,2392,162,2219
LINE,169,2219,169,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2219
LINE,155,2219,155,2392
LINE,169,2392,162,2392
LINE,162,2392,162,2564
LINE,169,2564,169,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2229
LINE,155,2229,155,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2554
LINE,155,2554,155,2392
LINE,169,2392,162,2392
LINE,162,2392,162,2554
LINE,169,2554,169,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2554
LINE,155,2554,155,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2525
LINE,155,2525,155,2392
LINE,155,2392,162,2392
LINE,162,2392,162,2229
LINE,155,2229,155,2392
