Polyline,X,Y
4,2968,135
1,2964,98
2,3870,42
3,3551,37
4,2964,98
1,3870,42
2,3551,37
3,3869,37
4,3870,42
1,3870,42
2,3876,79
3,2968,135
4,3870,42
1,3876,79
2,2968,135
3,2972,172
4,3876,79
1,3876,79
2,3883,116
3,2972,172
4,3876,79
1,3883,116
2,2972,172
3,2976,210
4,3883,116
1,3889,153
2,2980,247
3,3883,116
4,3889,153
1,2980,247
2,3883,116
3,2976,210
4,2980,247
1,3889,153
2,3895,190
3,2980,247
4,3889,153
1,3895,190
2,2980,247
3,2984,285
4,3895,190
1,3900,217
1,3900,217
1,3895,190
2,3900,217
3,3895,190
1,3900,217
2,3900,217
1,3900,217
1,2984,285
2,3001,310
1,2984,285
2,3001,310
3,2986,311
4,2984,285
1,3900,217
2,3001,310
1,3869,37
2,3870,42
3,3917,37
4,3869,37
1,4278,37
2,4278,37
3,3917,37
4,4278,37
1,4278,37
2,3917,37
3,3876,79
4,4278,37
1,3917,37
2,3876,79
3,3870,42
4,3917,37
1,4278,37
2,4278,75
3,3876,79
4,4278,37
1,4278,75
2,3876,79
3,3883,116
4,4278,75
1,3895,190
2,3889,153
3,4278,151
4,3895,190
1,3889,153
2,4278,151
3,4278,113
4,3889,153
1,4278,75
2,4278,113
3,3883,116
4,4278,75
1,4278,113
2,3883,116
3,3889,153
4,4278,113
1,3895,190
2,3913,216
3,4278,151
4,3895,190
1,3913,216
2,4278,151
3,4278,173
4,3913,216
1,4278,173
2,4278,178
3,3913,216
4,4278,173
1,3895,190
2,3900,217
1,3913,216
2,3895,190
3,3900,217
4,3913,216
1,3895,190
2,3900,217
3,3895,190
1,3900,217
2,3900,217
1,1924,765
2,1918,779
3,1901,755
4,1924,765
1,1918,779
2,1901,755
3,1906,804
4,1918,779
1,1901,755
2,1906,804
3,1873,758
4,1901,755
1,1906,804
2,1873,758
3,1736,924
4,1906,804
1,1873,758
2,1736,924
3,1634,782
4,1873,758
1,1736,924
2,1634,782
3,1729,925
4,1736,924
1,1634,782
2,1729,925
3,1627,783
4,1634,782
1,1729,925
2,1627,783
3,1722,927
4,1729,925
1,1627,783
2,1722,927
3,1619,784
4,1627,783
1,1722,927
2,1619,784
3,1715,929
4,1722,927
1,1619,784
2,1715,929
3,1611,785
4,1619,784
1,1715,929
2,1611,785
3,1708,933
4,1715,929
1,1611,785
2,1708,933
3,1603,786
4,1611,785
1,1708,933
2,1603,786
3,1702,937
4,1708,933
1,1603,786
2,1702,937
3,1595,786
4,1603,786
1,1702,937
2,1595,786
3,1697,942
4,1702,937
1,1595,786
2,1697,942
3,1586,787
4,1595,786
