xmin,ymin,xmax,ymax,Text
7,1228,3087
8,1230,3090
9,1234,3092
10,1237,3093
11,1241,3092
12,1245,3090
13,1246,3087
14,1248,3083
15,1247,3079
16,1245,3076
17,1241,3074
1,1465,1523
2,1466,1525
3,1469,1528
4,1474,1528
5,1477,1528
6,1481,1526
7,1483,1522
8,1484,1519
9,1483,1515
10,1481,1513
11,1478,1511
12,1474,1510
13,1471,1510
14,1467,1512
15,1465,1515
16,1464,1519
17,1465,1523
1,2566,1706
2,2496,1690
1,3649,3177
2,3557,3163
1,3664,3086
2,3571,3069
1,2468,2791
2,3213,2904
3,3472,2942
4,3546,3051
5,3704,3078
6,3676,3284
7,3653,3462
8,3663,3462
1,3061,3119
2,3062,3119
3,3061,3120
4,3062,3120
5,3062,3120
6,3061,3121
7,3061,3121
8,3060,3121
9,3060,3120
1,3063,3120
2,3063,3119
3,3064,3119
4,3065,3119
5,3065,3120
6,3065,3120
7,3063,3121
8,3065,3122
1,3068,3122
2,3068,3120
3,3069,3122
4,3071,3120
5,3071,3123
1,3071,3123
2,3072,3120
3,3073,3123
4,3074,3120
5,3074,3123
1,3078,3123
2,3078,3121
1,3079,3123
2,3079,3122
3,3079,3123
1,3079,3122
2,3080,3122
3,3081,3123
4,3081,3124
1,3085,3122
2,3084,3123
3,3084,3123
4,3084,3124
5,3085,3124
6,3085,3125
7,3086,3124
8,3087,3124
9,3087,3123
10,3087,3123
11,3086,3123
12,3086,3122
13,3085,3122
1,3087,3126
2,3088,3123
3,3088,3123
4,3089,3124
5,3089,3125
6,3088,3125
7,3088,3125
8,3088,3124
1,3090,3124
2,3091,3125
3,3091,3124
4,3091,3123
5,3091,3124
6,3090,3124
7,3090,3125
8,3091,3125
9,3091,3126
10,3091,3126
11,3091,3125
1,3092,3126
2,3093,3124
3,3092,3125
1,3093,3124
2,3094,3124
1,3096,3126
2,3096,3125
3,3095,3124
4,3094,3124
5,3094,3125
6,3094,3126
7,3095,3126
8,3096,3126
1,3097,3124
2,3097,3126
3,3097,3126
4,3098,3126
1,3097,3125
2,3098,3125
1,3099,3124
2,3100,3124
3,3099,3124
1,3099,3125
2,3099,3126
1,3101,3125
2,3101,3126
3,3100,3126
4,3100,3126
5,3101,3126
6,3101,3127
7,3101,3126
8,3102,3126
9,3102,3126
10,3101,3126
11,3101,3125
1,3103,3127
2,3103,3126
3,3104,3126
4,3104,3126
5,3104,3126
6,3104,3127
1,2463,2822
2,2603,2837
3,2963,2891
4,3474,2966
5,3533,3050
6,3544,3067
7,3699,3090
8,3673,3284
9,3658,3402
10,3671,3402
1,3055,3103
2,3057,3103
3,3056,3104
4,3057,3104
5,3057,3105
6,3057,3106
7,3056,3106
8,3055,3106
9,3055,3105
1,3058,3104
2,3058,3103
3,3059,3103
4,3060,3104
5,3060,3105
6,3059,3105
7,3058,3106
8,3060,3107
1,3063,3107
2,3064,3104
3,3065,3107
4,3066,3105
5,3065,3107
1,3067,3107
2,3067,3105
3,3068,3107
4,3069,3105
5,3069,3107
1,3073,3108
2,3073,3106
1,3074,3108
2,3074,3107
1,3074,3107
2,3074,3107
3,3074,3107
4,3075,3107
5,3075,3107
6,3075,3109
1,3081,3107
2,3080,3107
3,3079,3107
4,3079,3108
5,3079,3109
6,3080,3109
7,3080,3110
8,3081,3110
9,3081,3109
10,3081,3108
11,3081,3107
12,3081,3107
13,3081,3107
1,3082,3110
2,3082,3108
3,3083,3108
4,3084,3108
5,3084,3109
6,3084,3109
7,3084,3109
8,3084,3110
9,3083,3110
10,3082,3110
1,3085,3109
2,3087,3110
3,3087,3109
4,3086,3109
5,3085,3109
6,3085,3110
7,3086,3110
8,3087,3110
1,3088,3110
2,3088,3109
3,3088,3110
1,3088,3109
2,3088,3109
3,3089,3109
1,3091,3111
2,3091,3110
3,3091,3110
4,3091,3109
5,3090,3109
6,3090,3110
7,3089,3110
8,3090,3110
9,3091,3110
10,3091,3110
1,3093,3109
2,3092,3110
3,3093,3111
1,3092,3110
2,3093,3110
1,3094,3109
2,3094,3109
1,3094,3110
2,3094,3111
1,3096,3110
2,3096,3110
3,3095,3110
4,3095,3111
5,3096,3112
6,3097,3111
7,3097,3110
8,3096,3110
1,3097,3112
2,3098,3110
3,3099,3110
4,3100,3111
5,3099,3112
1,1945,1608
2,1946,1578
1,1986,3393
2,1984,3408
1,611,1856
2,594,1867
1,1280,1637
2,1277,1655
1,1386,2777
2,1420,2771
1,3879,2951
2,3887,2902
1,594,1742
2,582,1738
1,3697,3149
2,3713,3149
1,2450,2921
2,2453,2922
3,2458,2886
4,2483,2868
5,2545,2821
6,2594,2829
7,2691,2843
8,2780,2856
9,2987,2886
10,3119,2906
11,3176,2915
12,3284,2930
13,3396,2946
14,3478,2958
15,3537,3042
16,3532,3078
17,3505,3261
18,3501,3287
19,3489,3373
20,3482,3439
