xmin,ymin,xmax,ymax,Text
18,3074,3187
19,3078,3188
20,3945,3476
1,3679,3450
2,3679,3449
3,3679,3449
4,3678,3449
5,3677,3449
6,3677,3449
7,3676,3449
8,3677,3449
9,3677,3450
10,3678,3451
11,3679,3451
12,3679,3452
13,3678,3452
14,3677,3452
15,3676,3452
16,3676,3451
1,3683,3451
2,3682,3451
3,3682,3450
4,3682,3450
5,3681,3450
6,3680,3450
7,3680,3451
8,3681,3452
9,3682,3452
10,3682,3452
11,3682,3453
12,3682,3453
13,3681,3453
14,3680,3453
15,3680,3452
16,3679,3452
1,3684,3452
2,3685,3452
3,3684,3454
1,3687,3452
2,3688,3452
3,3687,3455
1,3692,3454
2,3692,3453
3,3691,3453
4,3690,3453
5,3689,3454
6,3689,3455
7,3689,3455
8,3689,3456
9,3690,3456
10,3691,3456
11,3692,3455
12,3691,3455
13,3690,3455
14,3689,3455
1,3695,3455
2,3694,3455
3,3693,3455
4,3693,3455
5,3693,3456
6,3693,3457
7,3693,3458
8,3694,3458
9,3695,3458
10,3695,3457
11,3695,3457
12,3695,3456
13,3695,3455
14,3695,3455
15,3695,3455
1,3699,3456
2,3699,3455
3,3698,3455
4,3697,3456
5,3696,3456
6,3696,3457
7,3696,3458
8,3696,3458
9,3697,3458
10,3698,3458
11,3699,3458
12,3699,3458
13,3699,3457
14,3698,3457
15,3697,3457
16,3696,3457
1,3700,3458
2,3703,3459
1,3704,3461
2,3705,3458
3,3707,3458
4,3708,3458
5,3708,3459
6,3708,3460
7,3707,3460
8,3706,3460
9,3705,3459
1,3708,3462
2,3709,3459
1,3712,3460
2,3708,3462
1,3709,3461
2,3711,3463
1,3712,3461
2,3713,3461
3,3714,3461
4,3712,3464
1,3715,3462
2,3716,3462
3,3717,3462
4,3715,3465
1,3721,3463
2,3719,3462
3,3718,3464
4,3719,3464
5,3720,3464
6,3721,3465
7,3721,3465
8,3720,3465
9,3720,3466
10,3719,3466
11,3718,3465
12,3718,3465
13,3718,3465
1,3723,3464
2,3722,3464
3,3722,3465
4,3722,3465
5,3723,3465
6,3724,3465
7,3724,3466
8,3724,3467
9,3723,3467
10,3722,3467
11,3722,3467
12,3722,3466
13,3722,3465
14,3722,3465
15,3723,3465
16,3724,3465
17,3725,3465
18,3725,3465
19,3724,3464
20,3723,3464
1,3728,3465
2,3726,3465
3,3725,3466
4,3726,3466
5,3727,3466
6,3728,3467
7,3728,3468
8,3727,3468
9,3726,3468
10,3725,3468
11,3725,3468
12,3725,3467
1,3728,3469
2,3731,3466
3,3731,3470
1,3729,3468
2,3731,3468
1,3682,3445
2,3682,3445
3,3682,3445
4,3682,3449
1,3685,3447
2,3685,3446
3,3685,3449
1,3690,3452
2,3691,3449
1,3692,3450
2,3690,3451
1,3691,3450
2,3692,3452
1,3694,3449
2,3695,3452
3,3697,3450
1,3700,3455
2,3701,3452
1,3702,3455
2,3702,3453
3,3702,3454
1,3702,3453
2,3703,3453
3,3704,3454
4,3704,3455
5,3703,3455
1,3710,3455
2,3709,3455
3,3709,3455
4,3708,3456
5,3708,3457
6,3709,3458
7,3710,3458
8,3711,3458
9,3712,3458
10,3712,3457
11,3712,3456
12,3712,3455
13,3711,3455
14,3710,3455
1,3712,3460
2,3713,3457
3,3714,3457
4,3715,3457
5,3715,3458
6,3715,3458
7,3714,3459
8,3713,3459
9,3712,3458
1,3716,3458
2,3718,3459
3,3718,3458
4,3718,3458
5,3717,3458
6,3716,3458
7,3716,3459
8,3716,3460
9,3717,3460
10,3718,3460
1,3719,3461
2,3719,3458
1,3719,3460
2,3719,3459
3,3720,3459
4,3721,3459
1,3723,3462
2,3724,3460
3,3724,3461
1,3724,3460
2,3723,3460
3,3722,3460
4,3722,3461
5,3722,3462
6,3722,3462
7,3722,3462
8,3723,3462
9,3724,3462
1,3726,3460
2,3725,3462
3,3725,3463
4,3726,3463
1,3725,3461
2,3727,3462
1,3728,3461
2,3728,3461
1,3728,3462
2,3728,3464
1,3730,3462
2,3729,3462
3,3729,3463
4,3729,3464
5,3729,3465
6,3730,3465
7,3731,3465
8,3731,3464
9,3731,3463
10,3731,3463
11,3731,3462
12,3730,3462
1,3732,3465
2,3733,3463
1,3732,3464
2,3733,3464
3,3734,3464
4,3735,3464
5,3735,3465
6,3734,3466
1,3777,1142
2,3799,1078
3,3823,1085
1,4135,24
2,4037,318
3,3246,2696
4,2986,3476
1,2950,3476
2,3193,2749
3,2754,2609
1,2959,3228
2,2959,3228
3,2959,3228
4,2962,3228
1,2959,3225
2,2959,3225
3,2963,3225
1,2964,3220
2,2961,3219
1,2963,3218
2,2963,3220
1,2963,3219
2,2965,3218
1,2963,3216
2,2966,3215
3,2963,3213
1,2968,3210
2,2965,3209
3,2965,3208
4,2966,3207
5,2966,3207
6,2966,3208
7,2966,3210
1,2969,3206
2,2967,3205
3,2968,3206
1,2967,3205
2,2967,3205
1,2968,3202
2,2968,3203
3,2969,3204
4,2969,3204
5,2969,3203
6,2970,3203
7,2970,3202
8,2970,3202
9,2969,3202
10,2969,3202
11,2968,3202
1,2972,3201
2,2969,3200
3,2969,3200
1,2969,3200
2,2969,3199
3,2969,3199
4,2970,3198
5,2970,3199
6,2971,3199
7,2971,3199
8,2971,3200
9,2970,3201
1,2970,3195
2,2970,3196
3,2971,3197
4,2972,3197
5,2973,3196
6,2973,3195
7,2973,3195
8,2972,3195
9,2971,3195
10,2970,3195
1,2972,3192
2,2971,3192
3,2971,3193
4,2972,3193
5,2973,3192
6,2973,3192
7,2973,3192
8,2973,3192
9,2973,3193
10,2973,3194
11,2973,3194
1,2973,3190
2,2973,3189
3,2973,3188
4,2973,3189
5,2973,3189
6,2973,3189
7,2973,3190
8,2973,3191
9,2973,3190
10,2974,3190
11,2975,3189
12,2974,3189
1,2973,3185
2,2976,3186
3,2976,3186
4,2976,3187
5,2975,3187
6,2974,3187
7,2973,3187
8,2973,3186
9,2973,3186
10,2974,3186
11,2974,3185
1,2959,3476
2,2973,3433
3,2976,3425
4,3010,3322
5,3016,3305
6,3068,3152
7,3074,3132
8,3169,2845
9,3174,2830
10,3285,2497
11,3293,2474
12,3396,2164
13,3406,2134
14,3456,1983
15,3469,1943
16,3531,1757
17,3541,1727
18,3665,1355
19,3682,1306
20,3756,1081
21,3758,1075
22,3763,1062
23,3764,1056
24,3787,986
25,3791,976
26,3819,894
27,3878,714
28,4044,216
29,4059,171
30,4069,141
31,4088,85
32,4108,24
1,3520,1804
2,3517,1803
1,3518,1801
2,3518,1804
