Polyline,X,Y
8,2468,1238
1,2469,1235
2,2469,1233
3,2469,1233
4,2468,1234
5,2468,1234
6,2469,1235
7,2469,1235
8,2470,1234
9,2470,1234
10,2470,1233
1,2470,1233
2,2469,1232
1,2469,1233
2,2469,1232
3,2469,1232
4,2469,1231
1,2470,1229
2,2471,1229
1,2470,1229
2,2470,1229
3,2470,1230
4,2470,1231
5,2470,1231
6,2470,1231
7,2471,1231
8,2471,1230
9,2471,1229
1,2470,1228
2,2471,1228
3,2472,1228
1,2470,1228
2,2470,1227
1,2470,1226
2,2470,1226
1,2471,1226
2,2472,1227
1,2471,1225
2,2471,1225
3,2471,1226
4,2472,1226
5,2472,1226
6,2472,1225
7,2473,1225
8,2473,1225
9,2472,1224
10,2472,1224
11,2471,1224
12,2471,1225
1,2473,1224
2,2472,1223
1,2472,1223
2,2472,1222
3,2472,1222
4,2472,1222
5,2473,1222
1,2889,17
2,2860,103
3,2821,220
4,2646,746
5,2295,1800
6,2267,1885
7,2084,2434
1,2168,2227
2,2358,2291
3,2787,2434
1,2646,2387
2,2646,2385
3,2648,2385
4,2648,2386
5,2648,2386
6,2648,2386
7,2647,2386
8,2646,2386
1,2648,2388
2,2649,2386
1,2651,2386
2,2649,2387
1,2649,2387
2,2650,2389
1,2652,2387
2,2652,2387
3,2652,2389
1,2654,2388
2,2654,2387
3,2654,2390
1,2657,2389
2,2656,2388
3,2655,2389
4,2656,2389
5,2656,2389
6,2657,2389
7,2657,2390
8,2657,2390
9,2656,2391
10,2656,2391
11,2656,2390
12,2655,2390
13,2655,2390
1,2659,2389
2,2659,2389
3,2658,2390
4,2659,2390
5,2659,2390
6,2660,2391
7,2660,2391
8,2659,2391
9,2659,2391
10,2658,2391
11,2658,2391
12,2657,2391
13,2658,2390
14,2659,2390
15,2659,2390
16,2660,2390
17,2660,2390
18,2660,2389
19,2659,2389
1,2662,2390
2,2661,2390
3,2661,2391
4,2661,2391
5,2662,2391
6,2662,2391
7,2662,2391
8,2662,2392
9,2662,2392
10,2661,2392
11,2661,2392
12,2660,2392
13,2660,2391
1,2663,2393
2,2664,2391
3,2664,2393
1,2663,2392
2,2664,2392
1,2666,2393
2,2668,2393
1,2669,2394
2,2669,2393
3,2670,2393
4,2671,2393
5,2671,2394
6,2670,2394
7,2669,2394
1,2671,2396
2,2672,2393
3,2673,2396
4,2674,2394
5,2673,2396
1,2676,2395
2,2675,2394
3,2675,2395
4,2675,2396
5,2675,2396
6,2675,2397
7,2675,2397
8,2675,2397
9,2676,2397
10,2676,2397
11,2676,2396
12,2676,2396
13,2676,2395
14,2676,2395
1,2678,2396
2,2677,2396
3,2677,2396
4,2678,2396
5,2678,2397
6,2679,2397
7,2679,2398
8,2678,2398
9,2678,2398
10,2677,2398
11,2677,2397
12,2677,2397
13,2677,2397
14,2678,2397
15,2678,2397
16,2679,2397
17,2679,2396
18,2678,2396
19,2678,2396
1,2680,2396
2,2682,2397
3,2681,2397
4,2681,2397
5,2681,2398
6,2681,2398
7,2681,2399
8,2681,2399
9,2680,2398
10,2680,2398
11,2680,2398
1,2683,2397
2,2684,2398
3,2683,2398
4,2684,2398
5,2684,2399
6,2684,2399
7,2683,2399
8,2683,2399
9,2682,2399
10,2682,2399
1,2650,2383
2,2650,2383
3,2651,2383
4,2650,2385
1,2652,2384
2,2652,2384
3,2653,2384
4,2652,2385
1,2656,2387
2,2656,2385
1,2657,2386
2,2656,2386
1,2656,2386
2,2657,2387
1,2659,2385
2,2659,2388
3,2661,2386
1,2663,2389
2,2663,2387
1,2664,2390
2,2664,2388
1,2664,2389
2,2664,2389
3,2665,2389
4,2666,2389
5,2666,2389
6,2665,2390
1,2670,2389
2,2669,2390
3,2669,2390
4,2669,2390
5,2669,2391
6,2669,2391
7,2669,2391
8,2670,2392
9,2670,2391
10,2671,2391
11,2671,2391
12,2671,2390
13,2671,2390
14,2670,2390
15,2670,2389
1,2671,2393
2,2671,2391
3,2672,2391
4,2673,2391
5,2673,2391
6,2673,2391
7,2673,2392
8,2673,2392
9,2672,2392
10,2671,2392
11,2671,2392
1,2674,2392
2,2675,2392
3,2675,2392
4,2675,2392
5,2674,2392
6,2674,2392
